CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,士林區,6301100,2018-07-15,21:00:00,29,20,59,偏東風,3,2,29,多雲,02,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-16,00:00:00,28,20,62,偏東風,2,<= 1,30,晴,01,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-16,03:00:00,27,20,64,偏東風,2,<= 1,29,多雲,02,10,10,2018-07-13
臺北市,士林區,6301100,2018-07-16,06:00:00,27,19,64,偏東風,2,2,29,多雲,02,10,20,2018-07-13
臺北市,士林區,6301100,2018-07-16,09:00:00,30,22,62,偏東風,3,2,33,晴,01,10,20,2018-07-13
臺北市,士林區,6301100,2018-07-16,12:00:00,33,24,59,偏東風,4,3,36,多雲,02,20,20,2018-07-13
臺北市,士林區,6301100,2018-07-16,15:00:00,32,23,59,偏東風,5,3,34,晴,01,20,20,2018-07-13
臺北市,松山區,6300100,2018-07-13,18:00:00,31,23,64,東南風,2,2,33,晴,01,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-13,21:00:00,29,22,65,東南風,2,<= 1,31,多雲,02,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-14,00:00:00,28,22,69,東南風,2,<= 1,31,多雲,02,0,10,2018-07-13
臺北市,松山區,6300100,2018-07-14,03:00:00,27,23,76,東南風,1,<= 1,30,晴,01,0,10,2018-07-13
臺北市,松山區,6300100,2018-07-14,06:00:00,27,22,75,東南風,2,<= 1,30,晴,01,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-14,09:00:00,31,23,63,東南風,3,2,34,多雲,02,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-14,12:00:00,35,24,57,東南風,3,2,38,晴,01,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-14,15:00:00,33,23,57,偏東風,2,2,36,晴,01,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-14,18:00:00,31,23,62,偏東風,3,2,34,晴,01,0,10,2018-07-13
臺北市,松山區,6300100,2018-07-14,21:00:00,29,22,65,東南風,2,<= 1,31,多雲,02,0,10,2018-07-13
臺北市,松山區,6300100,2018-07-15,00:00:00,28,22,69,東南風,1,<= 1,31,晴,01,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-15,03:00:00,27,23,79,偏東風,1,<= 1,31,多雲,02,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-15,06:00:00,27,23,78,東南風,1,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-15,09:00:00,31,23,65,東南風,2,2,35,晴,01,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-15,12:00:00,34,25,60,偏東風,3,2,38,多雲,02,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-15,15:00:00,33,25,63,偏東風,5,3,37,晴,01,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-15,18:00:00,31,24,67,偏東風,5,3,32,晴,01,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-15,21:00:00,29,22,66,偏東風,3,2,30,多雲,02,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-16,00:00:00,28,22,71,偏東風,1,<= 1,30,晴,01,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-16,03:00:00,27,22,74,偏東風,1,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,松山區,6300100,2018-07-16,06:00:00,26,21,71,偏東風,2,<= 1,29,多雲,02,10,20,2018-07-13
臺北市,松山區,6300100,2018-07-16,09:00:00,30,24,68,偏東風,3,2,34,晴,01,10,20,2018-07-13
臺北市,松山區,6300100,2018-07-16,12:00:00,34,26,65,偏東風,3,2,37,多雲,02,20,20,2018-07-13
臺北市,松山區,6300100,2018-07-16,15:00:00,33,25,65,偏東風,4,3,36,晴,01,20,20,2018-07-13
臺北市,萬華區,6300700,2018-07-13,18:00:00,32,23,60,東南風,4,3,33,晴,01,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-13,21:00:00,30,21,61,東南風,2,2,31,多雲,02,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-14,00:00:00,29,22,67,東南風,2,2,31,多雲,02,0,10,2018-07-13
臺北市,萬華區,6300700,2018-07-14,03:00:00,28,22,70,東南風,2,<= 1,30,晴,01,0,10,2018-07-13
臺北市,萬華區,6300700,2018-07-14,06:00:00,27,21,70,偏東風,2,2,29,晴,01,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-14,09:00:00,31,22,58,東南風,5,3,34,多雲,02,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-14,12:00:00,35,24,52,東南風,4,3,37,晴,01,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-14,15:00:00,34,24,55,偏東風,4,3,36,晴,01,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-14,18:00:00,32,22,58,偏東風,5,3,33,晴,01,0,10,2018-07-13
臺北市,萬華區,6300700,2018-07-14,21:00:00,30,21,59,偏東風,3,2,31,多雲,02,0,10,2018-07-13
臺北市,萬華區,6300700,2018-07-15,00:00:00,29,21,65,東南風,2,<= 1,30,晴,01,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-15,03:00:00,28,22,73,偏東風,2,<= 1,31,多雲,02,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-15,06:00:00,27,21,71,偏東風,2,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-15,09:00:00,32,22,59,偏東風,4,3,35,晴,01,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-15,12:00:00,35,25,56,偏東風,4,3,38,多雲,02,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-15,15:00:00,34,25,61,偏東風,6,4,37,晴,01,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-15,18:00:00,32,24,64,偏東風,6,4,32,晴,01,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-15,21:00:00,30,21,60,偏東風,4,3,29,多雲,02,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-16,00:00:00,29,21,64,偏東風,2,2,30,晴,01,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-16,03:00:00,27,21,66,偏東風,3,2,29,多雲,02,10,10,2018-07-13
臺北市,萬華區,6300700,2018-07-16,06:00:00,27,19,63,偏東風,5,3,27,多雲,02,10,20,2018-07-13
臺北市,萬華區,6300700,2018-07-16,09:00:00,31,22,61,偏東風,5,3,32,晴,01,10,20,2018-07-13
臺北市,萬華區,6300700,2018-07-16,12:00:00,35,26,61,偏東風,6,4,37,多雲,02,20,20,2018-07-13
臺北市,萬華區,6300700,2018-07-16,15:00:00,34,25,61,偏東風,6,4,35,晴,01,20,20,2018-07-13
臺北市,中正區,6300500,2018-07-13,18:00:00,32,23,60,東南風,4,3,33,晴,01,10,10,2018-07-13
臺北市,中正區,6300500,2018-07-13,21:00:00,30,21,61,東南風,2,2,31,多雲,02,10,10,2018-07-13
臺北市,中正區,6300500,2018-07-14,00:00:00,29,22,67,東南風,2,2,31,多雲,02,0,10,2018-07-13
臺北市,中正區,6300500,2018-07-14,03:00:00,28,22,70,東南風,2,<= 1,30,晴,01,0,10,2018-07-13
臺北市,中正區,6300500,2018-07-14,06:00:00,27,21,70,偏東風,2,2,29,晴,01,10,10,2018-07-13
臺北市,中正區,6300500,2018-07-14,09:00:00,31,22,58,東南風,5,3,34,多雲,02,10,10,2018-07-13
臺北市,中正區,6300500,2018-07-14,12:00:00,35,24,52,東南風,4,3,37,晴,01,10,10,2018-07-13
臺北市,中正區,6300500,2018-07-14,15:00:00,34,24,55,偏東風,4,3,36,晴,01,10,10,2018-07-13
臺北市,中正區,6300500,2018-07-14,18:00:00,32,22,58,偏東風,5,3,33,晴,01,0,10,2018-07-13
臺北市,中正區,6300500,2018-07-14,21:00:00,30,21,59,偏東風,3,2,31,多雲,02,0,10,2018-07-13
臺北市,中正區,6300500,2018-07-15,00:00:00,29,21,65,東南風,2,<= 1,30,晴,01,10,10,2018-07-13
臺北市,中正區,6300500,2018-07-15,03:00:00,28,22,73,偏東風,2,<= 1,31,多雲,02,10,10,2018-07-13
臺北市,中正區,6300500,2018-07-15,06:00:00,27,21,71,偏東風,2,<= 1,30,多雲,02,10,10,2018-07-13
臺北市,中正區,6300500,2018-07-15,09:00:00,32,22,59,偏東風,4,3,35,晴,01,10,10,2018-07-13
臺北市,中正區,6300500,2018-07-15,12:00:00,35,25,56,偏東風,4,3,38,多雲,02,10,10,2018-07-13
